processed_text,IsToxic
people step case people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go measurable people honestly witness incident clue way issue swing grand jury inform trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency,False
law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,True
not reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look m nice black people race actually world pussyfootin fear racist fuckin daft man,True
large number people like police officer call criminal reason police officer fact criminal like police officer testament good work police officer protect public child family danger hessitate help police time people stop complain start police respect hard work dedication require life line serve public,False
arab dude absolutely right shoot extra time shoot s attack stop attack shoot twice attack time shoot kill opinion,False
people facebook tie isis terrorist group muslim extremist,True
check tube post black man go epic rant ferguson rioter message deliver childish cartoon ish emotion african american get,True
love pussy staten island spit cop love happen mike brown strong arm thug people burn ferguson eric garnier wrong choke death protest mafia control staten island burn car,True
agree protestor,False
mike browns father boooshit,True
guy right point judge speak ability judge messege racist fuck suck dick like medium focus thing matter cnn shit,True
moral story reach cops gun probably gunna shoot white black,False
masri close isis america,True
know chimper compassion mud pump heart,True
believe wanna believe care bassem masri idiot,True
bassem masri terrorist isis,True
would'nt waist time try reason police spit thug try defend criminal brown lose matter grand jury decision live,True
wish mr masri dead,True
collapse usa possibility consider boil dictatorship evil reprisal possibility new reconstruction people fundamentally conscious responsibility attain government bring effective valuable new start actually occur currently extremely questionable presently totalitarian manner direct interest economic military political cultural strict fundamentalist religious sectarian base enormous lie devious misanthropic criminal felonious machination imaginable regard mean population usa spy secret service severely neighbourhood forth possible manner restrict freedom addition violence emerge form openly covertly.﻿,False
actually shout fire crowded theater christopher hitchens demonstrate talk free speech look interviewee correct cop serve public way consistent serve public police department represent public race ethnicity rank hire bunch big tough black guy police department few black shoot death puny white guy felt humiliate get bitch slap teenager,True
think kill,True
legalize marijuana problem stop,False
word provocateur,False
lol happen greedy rich slime masse uneducated ignorant deal stupid create try reason irrational exercise futility popcorn ready bc boil fall talk fall walk,True
legal system inherently racist cnn reporter,True
look ready cut head isis sympathizer go maybe care issue hand want loot store fuck shit,True
lol shoot apprehend idiot,True
case overshadow cop murder kid fake sword saratoga springs utah outraged mike brown case murder happen utah deal cop provide non lethal weapon shooting utah unwarranted run know run lunge police fake sword take opportunity immediate action right run shoot time know large group cop corrupt murderer new run police time teen cop pursue find hide bullet end life say paper saratoga spring black population,False
man zionist jew look ypu jewnesss face cnn employ zionist sympathiser neo con racist wolf blitzer emplpyeee,True
blood street worried word get tired way mainstream media treat like idiot follow condescending irrelevant distract disparage narrative step cnn,False
stop criminal will not shoot simple,True
like turtle,False
massri need education,True
cnn mother fucker fuck peace shit,True
statement think ali sheep butt fucker masri ak fight syria,True
hahahahaha guy ed bassmaster character teste ed bassmaster semi retarded character cross eyed like guy,True
childish cop sleep night,False
completely idiot have minutrs fame,True
hope god guy fall ol banana tailpipe bullshit news give,True
cnn bullcrap,True
alright entire case crap people say white people racist call bad name racist like extensive investigation prove boy death self defense defend kkk thing defend helpless citizen ferguson boy die care white black care people ferguson treat town care incident hold memorial express feelings.thi help justice matter boy dead grand jury decide,False
guy know happen hand,False
ayy cnn lookin like pussy,True
smirconnish handed guy world guy masri idiot,True
masri total idiot know evidence come conclusion instead clue not attack cop try gun rush finally get car will not shoot duhhh masri brown icecream beat ground defend btw brown momma gramma violently assault people sell t shirt memory brown people hospital steal money trash shop probably charge know sort mentality brown raise thug wanna cause death,True
break bassem make sense debate,False
let reverse roll black racist cop rich white communities.(but prove racist white man get piss intolerable condition unload clip high caliber ammo point blank range audacity question authority americans need alert elitist agenda set president question authority elitist upper class problem prison culture cia drug cartel export job import cheap labor elitist bail support corrupt system turn c past race issue govt incite divide work class hardly work class govt work homeless class let western history role big money play clusterfuck design destroy nation destroy point ask,True
moron talk peaceful burn nation flag idiot suppose old knowledge baby make noise,True
cia agent provocateur operative kick start riot new american civil war african american rehearsed ebonic transparent,False
shoot black idiot giggle inside,True
people sick man speak truth you mad try justify young boy shoot kill smh you devil disease earth glad sun burn ass extinction planet half animal half devil cave beast,True
world change m mad police d dam isis go to come s time kill fauck,True
cnn propaganda people let hear ferguson,False
waste time talk idiot know m sayin believe want believe yup- hell fact evidence loser,True
"news fucktard puppet players,,,,,all pay liar",True
bassem right express freedom expression right amendment constitution not think cnn competent,False
guy riot work orrrr let guess fuck day,True
mr masri right well,False
tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense,False
racial profiling police intimidation rob store get kill result fuck excuse man black people arrest commit strong arm robbery black people violent fear getting like animal actually say worry warrant lol fucking piece human garbage,True
wrong mother fucker shoot apprehend,True
black white crime big topic ferguson case come brag finnish cop firearm time year time human time warn time kill wounded animal ppl gun capita,False
head read protester far,False
muslim man mind peace want stir dissonance trouble americans racist accusation man goal,True
add imbecile bunch reporter incompetent bastard,True
interviewer right guy respect paramilitary police kill get away ha,True
dumb people,True
bassem think walmart hire holiday job loser,True
teen face life prison pot brownie year old man get arrest feed poor police officer set free charge whatsoever kill teenager people wrong,False
know sayin wow,False
yeah right white shoot black hell break lose black shot black protest maybe start protest black shotting black buy thi story,True
let steal convenience store let punch cop face shoot time let black people white apologist run street set building fire fuck dirty gutter rat live welfare cause violence look rest black people live dirtie ebola plague ride continent lucky white country come cure dumb ass,True
dude fuck punk police,True
stupid arab police shoot apprehend lmao work attack,True
5:09 plain n simple truth,False
lmfao dude take like hear talk know say smh,False
understand anger war answer,False
iz nuffinz,False
ignorant coward emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth choose pathetic man interview,True
motherfucker angry understand,True
let straight present fact mass media beginning yr old legal aspect adult rob convince store criminal later flee seen aprehende police resist arrest altercation occur police case similar use force criminal kill killing go court randomly select jury view evidence hear witness pertain case radom jury reach unanimous verdict guilty m sorry protestor democracy,True
protestor work living time,False
people obey law like normal human being happen < winner,False
indictment move right,False
act like animal treat like animal,True
michael smerconish + hack,False
sure totally look factual evidence trial like special treatment hey know go happen,True
tellin fact steal swisher sweet value life admit racist quit bunch faggott bitch,True
proof black victim statistically cop kill white black white necessary save life cost place like ferguson lose mind statistically murder black kill black white consist murderer race white enslave black year europeans(the race start america later enslave african begin search north africa establish trade good native 1520s late 1600 white enslave later table turn boy girl call karma statistically murder black despite make entire population despite white population murder white welfare recipient black make extreme realize 39%(blacks consist whith 38%(white make mean individual black person time likely white use welfare,True
white man finish sentence america need wake up!!the truth murder,True
sure avoid get guy taxi cab,False
fuck media bassem right find real investigate exaggerate want view money fuck selfish fuck people disgusting know bare nasty self,True
cnn youse guy go far tell bad go happen bad go benefit care money ellen well like rest careful russia careful kid,False
guy need grow,False
"shoot apprehend easier say evidence present michael brown attackin darren shoot twice people misconception like movie gun shoot body disable attacker false belief case people attack run shoot time god sake cent shoot time alive attack ft somthe pound person hard i""m goin shoot apprehend michael brown copnducte like gentleman happen aggresive piece shit muslim shit head well fill rage answer progression come tolerance violence",True
brown daily killing non white white cop reality,False
guy hire idiot,True
guy moron,True
cnn touch close idiot people watch comedy reporting.lol,True
bassem masri criminal thug psychopath credibility humanity need lock jail cell time rubber room straight jacket bassem intellectually dishonest butt community,True
cnn joke,True
wonder police expect happen continually abuse kill people honestly expect public lay let cop turn massive street gang allow kill consequence rat cornered defend,True
want son death vain let burn bitch stupid fuck destroy livelihood peaceful protest fucking ass,True
guy hero,False
sound spit arab expression,False
wow,False
think indecent unessacerry event person shoot mr brown steal intirely police officer fault,False
genuine failure leadership president united states nice town ferguson declare state emergency martial law federal troop stuff town non resident push know go riot president want offend black community want shoot let er burn baby burn real leader way mr president sir fail reprehensibly accuse you.﻿,True
know irradiate commercial strawberry seed will not germinate,False
arabs hate black people isis sympathizer want community nonsense,True
life understand people think mike brown martyr cause man criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reverse issue,True
well done,False
old mans way try forever work look,False
3:44 u wat m sayin,False
badge bitch half fuck police,True
arab piece shit act like get harrasse parent store act like get treat like black people lol people steal store moron piece shit,True
people like guy make america shake head nawamsain fuck,False
police brutality affect black issue black issue people black tend stop listen end racial profiling police fuck police care color policeman fuck look youtube notice brutality discriminate stop racial bullshit want cop finally hold accountable powertripping action need realize play black black black card make people black feel sympathetic race issue,True
christians rock,False
good cnn anchor see,False
islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people,True
fuck cnn corrupt demon worship fool,True
guy dumbass claim police hire thug take phone shoot round evidence claim,True
mike browns father buy get catch video say burn bitch reffere ferguson dude interviwing thug give air time,True
brown isuse excuse loot people shit destroy neighborhood haaaa typical ghetto bullshit ya be hood ya ghetto bitch collect free rent govt fight govt occupy wall street faget clean highway,True
wtf guy get mug iphone ferguson video hilarious,False
trayvon martin michael brown common real reason riot dare speak zimmerman case common factor race monger like al sharpton cnn msnbc whip black community racism racism injustice injustice year promise zimmerman michael brown style case big question similar case face real root cause problem suffer black americans poverty high crime high black black murder rate far easy turn blind eye point finger shout racism root cause black problem america racism root cause break black american family high number fatherless child grow single parent home government statistic reveal child bear fatherless home likely drop school likely history unemployment high chance poverty likely serve time prison list go look fact black child grow fatherless home compare white child number begin explain black poverty black crime high black america black mother welfare comply dysfunctional gangster rap culture glorify promiscuity drug dealer abuse woman power gun problem begin emerge reason death trayvon martin michael brown begin come clear black americans minority dying probably killing need say black culture violence finance welfare system conclusion like say race base case soon fact end long race monger like sharpton cnn msnbc continue promote idea racism disintegration black american family ferguson corner,False
shot disable man officer feel threatened backup shot man continue threaten transcript witness evidence release question unanswered answer pray involve find peace terrible encounter amen,False
thought waste skin catch desert 3300fps popular guy free people allow party live bookend country rest libshit justice know majority real americans despise way know day continue exist ying yang motherjumper,True
wow hole make cnn interviewer reasonable balanced,True
argue idiot,True
ratchet!lol,False
stfu muslim piece shit cop fire round ass well lets cut head pour pig blood throat willing bet dirty fckn islamic bastard set fire black,True
song address ferguson issue today listen thank tha big picture soundcloud listen tha big picture kool d np soundcloud,False
michael smerconish little bitch like subtly try insult guy guy laugh show low cnn stoop garbage hole cnn piece ass suck work michael smerconish guess wonder home watch cnn crap news network,True
thanksgiven christmas owner business loot steal burn good reason year come people serve one burn god mercy,False
grand jury amd processor power justice system amd connection police department sayin honestly,False
protect serve people like michael brown guy deserve kill cry,True
cop shoot white guy riot shoot black guy think black look evidence skin color throw race card crap like,False
find amuse protester claim fight racism blind racism report black people attack white people couple day ago report white man beat death hammer black teen st louis yeah clearly racial intent fucking hypocrite,True
"excellent medium slaves wait speak out,,so get lose tragedy travesty happen go thee origin usa nøbody free thee illusion real thee struggle experience collision experiment psychological warfare attrition type that,,alway aware baiting allow create helter skelter",False
michael brown rob store assault store owner fight police officer darren wilson police window go officer gun shoot kill brown shirt say arm happen criminal activity regardless color skin linch mob mentality way public pressure fact support browns activity day wonder brown want death suicide cop family sue,True
fucking fuck defend properly joke,True
wow think go buy bullet proof vest shit black like everybody tryin shoot,True
black officer shoot white guy fine black people racist,True
delusional moron anger justify mike unjustly kill hand mike malicious person shooting justify rioting justified know happen day riot take place basis assumption,True
omg terrorist isis undercover agent americans arrest,True
let real people camera truth tell pure form,False
criminal kid shoot police everyday plus mike brown bad criminal record start fight,False
city dumb people try reason,True
county middle east county b,True
people shoot everyday come s get attention,False
history mankind people color creed culture find way rise ashe oppression self betterment self preservation black enlighten unknown phenomenon,True
fucking douche bag,True
cnn need hire man real american trouble,True
feral hoodlum rest long need fear thuggish behavior upset blame parents- fail raise right provide proper supervision defective start way sound like case quality control thank officer wilson job,True
government kill population,True
fake!! cnn b,True
need basic savage riot protest use german shepard shoot animal,True
hell interview guy idiot,True
oh god fucking love arab guy wise word seriously open eye world see thing rare world today big fucking amen guy wake fuck america,True
mr smerconish sir journalist journalist claim interview object search 15min fame interview and/or speak direction want try defame person illegal definitively serve time school truly obvious handle word mouth care critical authority wait ton paper show know run stop hand air get shoot multiple time doubt happen witness say investigative journalist go ask people opinion superior chair real reporting shame shame cnn hire professional,True
arab rap 3:14 ahead bro lol getto,True
dude get knock phone steal ferguson,False
bassem masri uneducated idiot listen word come mouth sound like stupid little kid sorry grow fuck learn law instead repeat freedom speech citizen ahead bro listen somebody shut guy,True
white child deserve future ten million non white flood white country year decade mean white minority country found black country remain majority black asian country remain majority asian white country affect genocide international law anti white genocide diversity diversity mean chase white child anti racist codeword anti white,True
bassem masri say bro,False
guy idiot good lose bozo,True
period big mouth moron,True
muslim like spit white people bring muslim nggrs wait big plasma cheap tv loot shop,True
yep muslim bitch,True
masri unemployed,True
wait area majority african americans majority people pull search arrest area african american,False
