IsToxic,processed_text
False,people step case not people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go s measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency
True,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch
True,not reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look m nice black people race actually world pussyfootin fear racist fuckin daft man
False,large number people like police officer call criminal reason police officer fact criminal like police officer testament good work police officer protect public child family danger hessitate help police time people stop complain start police respect hard work dedication require life line serve public
False,arab dude absolutely right shoot extra time shoot s attack stop attack shoot twice s attack time shoot kill opinion
True,people facebook tie isis terrorist group muslim extremist
True,check tube post black man go epic rant ferguson rioter message deliver childish cartoonish emotion african americans get
True,love pussy staten island spit cop love happen mike brown strong arm thug people burn ferguson eric garnier wrong choke death protest mafia control staten island burn car
False,agree protestor
True,mike browns father boooshit
True,guy right point not judge speak ability judge messege racist fuck suck dick like medium focus thing not matter cnn shit
False,moral story not reach cops gun probably gunna shoot white black
True,masri close isis america
True,know chimper compassion mud pump heart
True,believe wanna believe not care bassem masri idiot
True,bassem masri terrorist isis
True,not waist time try reason police spit thug try defend criminal brown losing matter grand jury decision live
True,wish mr masri dead
False,collapse usa possibility consider boil dictatorship evil reprisal possibility new reconstruction people fundamentally conscious responsibility attain government bring effective valuable new start actually occur currently extremely questionable presently totalitarian manner direct interest economic military political cultural strict fundamentalist religioussectarian base enormous lie devious misanthropic criminal felonious machination imaginable regard mean population usa spy secret service severely neighbourhood forth possible manner restrict freedom addition violence emerge form openly covertly
True,actually shout fire crowded theater christopher hitchen demonstrate talk free speech look interviewee correct cop serve public way consistent serve public police department represent public race ethnicity rank hire bunch big tough black guy police department few black shoot death puny white guy felt humiliate get bitch slap teenager
True,think kill
False,legalize marijuana problem stop
False,word provocateur
True,lol happen greedy rich slime masse uneducated ignorant deal stupid create try reason irrational exercise futility popcorn ready bc boil fall talk fall walk
True,legal system inherently racist cnn reporter
