,IsToxic,processed_text
0,False,people step case not people situation lump mess matter hand make kind protest selfish rational thought investigation guy video heavily emotional hype want hear get hear press reasonable discussion kudo smerconish keep level time let masri fool dare tear city protest dishonor entire incident hate way police brutality epidemic wish stop pretend like know exactly go s measurable people honestly witness incident clue way issue swing grand jury informed trust majority rule right course action let thank police officer america actually serve protect bit jerk pull respect job know people go pout hold accountable action people hate police need officer emergency
1,True,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch
2,True,not reckon black life matter banner hold white cunt kinda patronizing ironically racist come somethin well white folk self pride ooo look m nice black people race actually world pussyfootin fear racist fuckin daft man
3,False,large number people like police officer call criminal reason police officer fact criminal like police officer testament good work police officer protect public child family danger hessitate help police time people stop complain start police respect hard work dedication require life line serve public
4,False,arab dude absolutely right shoot extra time shoot s attack stop attack shoot twice s attack time shoot kill opinion
5,True,people facebook tie isis terrorist group muslim extremist
6,True,check tube post black man go epic rant ferguson rioter message deliver childish cartoonish emotion african americans get
7,True,love pussy staten island spit cop love happen mike brown strong arm thug people burn ferguson eric garnier wrong choke death protest mafia control staten island burn car
8,False,agree protestor
9,True,mike browns father boooshit
10,True,guy right point not judge speak ability judge messege racist fuck suck dick like medium focus thing not matter cnn shit
11,False,moral story not reach cops gun probably gunna shoot white black
12,True,masri close isis america
13,True,know chimper compassion mud pump heart
14,True,believe wanna believe not care bassem masri idiot
15,True,bassem masri terrorist isis
16,True,not waist time try reason police spit thug try defend criminal brown losing matter grand jury decision live
17,True,wish mr masri dead
18,False,collapse usa possibility consider boil dictatorship evil reprisal possibility new reconstruction people fundamentally conscious responsibility attain government bring effective valuable new start actually occur currently extremely questionable presently totalitarian manner direct interest economic military political cultural strict fundamentalist religioussectarian base enormous lie devious misanthropic criminal felonious machination imaginable regard mean population usa spy secret service severely neighbourhood forth possible manner restrict freedom addition violence emerge form openly covertly
19,True,actually shout fire crowded theater christopher hitchen demonstrate talk free speech look interviewee correct cop serve public way consistent serve public police department represent public race ethnicity rank hire bunch big tough black guy police department few black shoot death puny white guy felt humiliate get bitch slap teenager
20,True,think kill
21,False,legalize marijuana problem stop
22,False,word provocateur
23,True,lol happen greedy rich slime masse uneducated ignorant deal stupid create try reason irrational exercise futility popcorn ready bc boil fall talk fall walk
24,True,legal system inherently racist cnn reporter
25,True,look ready cut head isis sympathizer m go maybe care issue hand want loot store fuck shit
26,True,lol shoot apprehend idiot
27,False,case overshadow cop murder kid fake sword saratoga springs utah outraged mike brown case murder happen utah deal cop provide non lethal weapon shooting utah unwarranted run not know run lunge police fake sword take opportunity immediate action right run shoot time know large group cop corrupt murderer new run police time teen cop pursue find hide bullet end life say paper saratoga spring black population
28,True,man zionist jew look ypu jewnesss face cnn employ zionist sympathiser neocon racist wolf blitzer emplpyeee
29,False,blood street worried word get tired way mainstream media treat like idiot follow condescend irrelevant distracting disparage narrative step cnn
30,True,stop criminal will not shoot simple
31,False,like turtle
32,True,massri need education
33,True,cnn mother fuckersfuck peace shit
34,True,statement think ali sheep butt fucker masri ak fight syria
35,True,hahahahaha guy ed bassmaster character teste ed bassmaster semiretarde character crosseye like guy
36,False,childish cop sleep night
37,True,completely idiot have minutrs fame
38,True,hope god guy fall ol banana tailpipe bullshit news give
39,True,cnn bullcrap
40,False,alright entire case crap people say white people racist call bad name racist like extensive investigation prove boy death self defense defend kkk thing defend helpless citizen ferguson boy die not care white black care people ferguson treat town care incident hold memorial express feelingsthis help justice matter boy dead grand jury decide
41,False,guy not know happen not hand
42,True,ayy cnn lookin like pussy
43,True,smirconnish evenhanded guy world guy masri idiot
44,True,masri total idiot not know evidence come conclusion instead clue not attack cop try gun rush finally get car will not shoot duhhh masri brown icecream beat ground defend btw brown momma gramma violently assault people sell tshirt memory brown people hospital steal money trash shop probably charge know sort mentality brown raise thug wanna cause death
45,False,break bassem make sense debate
46,True,let reverse roll black racist cop rich white communitiesbut not prove racist white man get piss intolerable condition unload clip high caliber ammo point blank range audacity question authority americans need alert elitist agenda set president question authority elitist upperclass problem prison culture cia drug cartel export job import cheap labor elitist bail support corrupt system turn c past race issue govt incite divide work class hardly work class govt work homeless class let western history role big money play clusterfuck design destroy nation destroy point ask
47,True,moron talk peaceful burn nation flag idiot s suppose old knowledge baby make noise
48,False,cia agent provocateur operative kickstart riot new american civil war s african american rehearsed ebonic transparent
49,True,shoot black idiot giggle inside
50,True,people sick man speak truth you mad try justify young boy shoot kill smh you devil disease earth ill glad sun burn ass extinction planet half animal half devil cave beast
51,True,world change m mad police d dam isis go to come s time kill fauck
52,False,cnn propaganda people let hear ferguson
53,True,waste time talk idiot know m sayin ill believe want believe yup hell fact evidence loser
54,True,news fucktardspuppet playersall pay liar
55,False,bassem right express himselfwe freedom expressionwe rightit amendment constitutioni not think cnn competent
56,True,guy riot work orrrr let guess fuck day
57,False,mr masri right not well
58,False,tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense
59,True,racial profiling police intimidation rob store get kill result fuck excuse man black people not arrest commit strong arm robbery black people violent not fear getting like animal actually say not worry warrant lol fucking piece human garbage
60,True,wrong mother fucker shoot apprehend
61,False,black white crime big topic ferguson case come brag finnish cop firearm time year time human time warn time kill wound animal million ppl gun capita
62,False,heading read protester far
63,True,muslim man mind peace want stir dissonance trouble americans racist accusation man goal
64,True,add imbecile bunch reporter incompetent bastard
65,True,interviewer right guy respect paramilitary police kill get away ha
66,True,dumb people
67,True,bassem think walmart hire holiday job loser
68,False,teen face life prison pot brownie year old man get arrest feed poor police officer set free charge whatsoever kill teenager not people wrong
69,False,know m sayin wow
70,True,yeah right white shoot black hell break lose black shot black protest maybe start protest black shotting black buy thier story
71,True,let steal convenience store let punch cop face shoot time let black people white apologist run street set building fire fuck dirty gutter rat live welfare cause violence look rest black people live dirtie ebola plague ride continent lucky white country come cure dumb ass
72,True,m dude fuck punk police
73,True,stupid arab police shoot apprehend lmao s work attack
74,False,plain n simple truth
75,False,lmfao dude take like hear talk not know s say smh
76,False,understand anger war answer
77,False,iz not nuffinz
78,True,ignorant coward emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth choose pathetic man interview
79,True,motherfucker angryand understand
80,True,let straight present fact mass media beginning yr old legal aspect adult rob convince store criminal later flee seen aprehende police resist arrest altercation occur police case similar use force criminal kill killing go court randomly select jury view evidence hear witness pertain case radom jury reach unanimous verdict guilty m sorry protestor not democracy
81,False,protestor work living time
82,False,people obey law like normal human being happen winner
83,False,indictmentmoving right
84,True,act like animal treat like animal
85,False,michael smerconish hack
86,True,surethey totally look factual evidence trial like special treatment hey know go happen not
87,True,tellin fact steal swisher sweet value lifejust admit racist quit bunch faggott bitch
